"id","nama","nik","status_pasutri","status_kewarganegaraan","jenis_sewa","unit_number","metode_pembayaran","metode_lain","tanggal_checkin","waktu_checkin","tanggal_checkout","waktu_checkout","lama_menginap","komentar","user_email","diedit_oleh","created_at","classification"
"6239","Lindsay Trantow","5104906101751947","Belum Menikah","WNI","Bulanan","B-13-29","QRIS",NULL,"2018-03-11","16:04:00","2018-08-08","09:17:00","150",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6240","Kate Kuhn","3439645102752266","Menikah","WNI","Mingguan","D-4-6","Cash",NULL,"2023-10-13","15:10:00","2023-11-03","07:33:00","21",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6241","Ervin Bechtelar","3291730309743913","Belum Menikah","WNA","Mingguan","D-4-9","Others","gopay","2012-10-28","18:41:00","2012-11-11","07:37:00","14",NULL,"Felton.Schamberger@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6242","Constance Marquardt","3230786512675547","Menikah","WNI","Harian","D-12-9","Kartu Debit",NULL,"2016-01-02","15:51:00","2016-01-06","08:38:00","4",NULL,"Edwin.Bosco@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6243","Josefina Torp","3605824702663509","Menikah","WNI","Harian","C-22-1","Others","gopay","2020-04-04","19:44:00","2020-04-05","12:45:00","1","Ditemukan alat suntik di tempat sampah","Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6244","Vickie Volkman","3200544506821468","Menikah","WNI","Harian","C-1-24","QRIS",NULL,"2025-09-08","13:53:00","2025-09-11","11:19:00","3",NULL,"Jaime.Murazik28@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6245","Karl Hane","3488412912899936","Belum Menikah","WNI","Bulanan","D-20-2","Cash",NULL,"2017-04-17","15:12:00","2017-07-16","11:25:00","90",NULL,"Mallory20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6246","Clifton Leannon","5123170909836902","Belum Menikah","WNI","Harian","A-22-10","QRIS",NULL,"2018-03-12","17:46:00","2018-03-13","10:15:00","1","Kebisingan berlebihan di malam hari","Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6247","Evelyn King","3373876407776725","Belum Menikah","WNA","Harian","B-19-21","Kartu Debit",NULL,"2024-06-28","09:34:00","2024-06-28","12:34:00","0","Kekerasan atau ancaman kepada penghuni lain","Armani68@yahoo.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6248","Louis Beer","3422962012905478","Belum Menikah","WNA","Mingguan","D-7-21","Others","paylater","2023-01-15","16:45:00","2023-02-05","07:10:00","21",NULL,"Troy_Cruickshank@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6249","Kari Bechtelar","3112155110721973","Menikah","WNI","Mingguan","C-22-15","Kartu Debit",NULL,"2019-06-02","20:12:00","2019-06-23","12:43:00","21",NULL,"p3srs@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6250","Jim Barrows","3541872305800733","Menikah","WNI","Bulanan","D-9-4","Others","dana","2022-02-19","18:21:00","2022-05-20","10:52:00","90",NULL,"Boris99@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6251","Austin Nitzsche","3101251901839762","Menikah","WNA","Bulanan","C-11-6","QRIS",NULL,"2023-10-23","15:44:00","2024-03-21","10:26:00","150",NULL,"ketua_agen@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6252","Ralph Grant","3673200707681322","Belum Menikah","WNA","Bulanan","B-18-24","QRIS",NULL,"2017-02-17","20:01:00","2017-05-18","07:04:00","90",NULL,"Shane54@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6253","Celia O'Reilly","3589904712815344","Belum Menikah","WNA","Harian","B-6-6","Kartu Debit",NULL,"2017-09-24","18:16:00","2017-09-29","12:32:00","5",NULL,"Mallory20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6254","Herman Hyatt","3135160911710019","Menikah","WNI","Harian","B-11-30","Others","paylater","2021-08-26","18:17:00","2021-08-31","09:24:00","5",NULL,"Boris99@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6255","Estelle Turcotte","3529965009720378","Menikah","WNI","Harian","C-13-15","Others","gopay","2025-03-18","15:17:00","2025-03-22","10:35:00","4",NULL,"Vladimir58@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6256","Abraham Champlin","3152782407924892","Menikah","WNA","Harian","A-7-2","Cash",NULL,"2016-05-02","08:37:00","2016-05-02","19:37:00","0",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6257","Melinda Barrows","3634845110655151","Belum Menikah","WNA","Bulanan","D-20-7","Kartu Kredit",NULL,"2021-04-14","18:23:00","2021-09-11","12:08:00","150",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6258","Terrance Bartell","3601471802843403","Belum Menikah","WNA","Harian","D-21-25","QRIS",NULL,"2019-01-25","15:11:00","2019-01-30","08:15:00","5",NULL,"Darrion_Wisoky41@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6259","Janis Hills-Ryan","3677917108875602","Menikah","WNA","Bulanan","D-8-8","Cash",NULL,"2011-07-27","14:07:00","2011-09-25","11:13:00","60",NULL,"Robyn48@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6260","Erin Roob","3389744803853199","Menikah","WNI","Mingguan","C-15-30","Cash",NULL,"2017-05-08","14:10:00","2017-05-15","09:03:00","7",NULL,"Troy_Cruickshank@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6261","Boyd Ziemann","3347012304744002","Belum Menikah","WNA","Bulanan","C-16-29","Kartu Debit",NULL,"2024-02-13","16:05:00","2024-03-14","09:36:00","30",NULL,"Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6262","Leslie Douglas","3557541302078140","Menikah","WNA","Bulanan","C-18-10","Kartu Kredit",NULL,"2016-07-19","13:09:00","2016-12-16","09:56:00","150",NULL,"Ian10@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6263","Darla Effertz","3664534906724112","Menikah","WNI","Harian","D-2-11","QRIS",NULL,"2012-05-11","21:28:00","2012-05-12","09:28:00","1","Penyalahgunaan alkohol/narkoba","April39@gmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6264","Matthew Dooley","3180650207660189","Menikah","WNA","Bulanan","D-12-13","QRIS",NULL,"2024-06-14","18:17:00","2024-10-12","08:22:00","120",NULL,"Eveline71@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6265","Ethel Rolfson","5156066708850720","Menikah","WNA","Mingguan","D-1-3","Kartu Debit",NULL,"2010-09-30","15:26:00","2010-10-07","09:54:00","7",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6266","Olivia Durgan","3308554510006763","Belum Menikah","WNA","Bulanan","D-17-9","Kartu Debit",NULL,"2014-07-22","19:54:00","2014-12-19","08:09:00","150",NULL,"Robyn48@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6267","Charlene Klein","3115916004683958","Menikah","WNI","Harian","A-20-20","Cash",NULL,"2019-07-05","14:05:00","2019-07-10","11:50:00","5",NULL,"Earnestine.Dooley89@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6268","Bradley Walter","3509381611717803","Belum Menikah","WNA","Bulanan","A-21-24","Others","dana","2023-01-08","20:47:00","2023-05-08","12:01:00","120",NULL,"Vladimir58@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6269","Lee Collins","3209192606685455","Menikah","WNI","Mingguan","B-13-24","Others","ovo","2019-10-04","15:19:00","2019-10-11","09:37:00","7",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6270","Alison Sauer","3475365712896326","Belum Menikah","WNI","Mingguan","D-5-6","Kartu Kredit",NULL,"2011-05-10","16:57:00","2011-05-24","09:06:00","14",NULL,"Robyn48@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6271","Bertha Robel","3287395803025162","Belum Menikah","WNI","Harian","C-25-22","QRIS",NULL,"2019-03-11","13:02:00","2019-03-14","12:45:00","3",NULL,"Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6272","Guadalupe Walsh","3696675902904096","Belum Menikah","WNI","Mingguan","B-17-25","Cash",NULL,"2018-08-06","19:19:00","2018-08-20","12:22:00","14",NULL,"Armani68@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6273","Ethel Cummerata","5143756809773659","Menikah","WNI","Harian","C-4-26","Kartu Debit",NULL,"2019-01-28","16:40:00","2019-01-29","12:56:00","1","Kebisingan berlebihan di malam hari","Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6274","Caroline Langosh","3175696402910114","Belum Menikah","WNI","Bulanan","B-4-25","Cash",NULL,"2025-06-29","14:28:00","2025-11-26","12:32:00","150",NULL,"Yadira.Labadie22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6275","Tomas Wiegand","5168142210719191","Menikah","WNA","Mingguan","C-25-15","Cash",NULL,"2014-10-24","16:59:00","2014-10-31","12:50:00","7",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6276","Harry Cole","3635042807943334","Menikah","WNA","Harian","C-6-30","Kartu Kredit",NULL,"2013-05-04","14:50:00","2013-05-10","07:26:00","6",NULL,"p3srs@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6277","Andy Gerhold","3325373007932411","Belum Menikah","WNA","Bulanan","D-6-12","QRIS",NULL,"2011-07-01","20:52:00","2011-11-28","11:49:00","150",NULL,"ketua_agen@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6278","Mamie Gerlach","3176106002917100","Menikah","WNI","Harian","C-18-4","Kartu Kredit",NULL,"2018-11-04","20:34:00","2018-11-05","08:26:00","1","Ditemukan kondom dalam jumlah banyak","Keeley.Kuhic84@yahoo.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6279","Adam Heidenreich","5179071203732838","Menikah","WNI","Bulanan","C-14-19","QRIS",NULL,"2023-11-29","13:03:00","2024-04-27","10:18:00","150",NULL,"Alia15@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6280","Nathaniel Terry","3612933007990013","Menikah","WNI","Mingguan","D-25-14","QRIS",NULL,"2023-08-26","20:55:00","2023-09-16","10:25:00","21",NULL,"ketua_agen@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6281","Megan Schneider","3157555401833989","Menikah","WNI","Bulanan","B-6-3","Others","linkaja","2024-05-08","13:43:00","2024-07-07","09:16:00","60",NULL,"Yadira.Labadie22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6282","Darlene Dietrich","5124145406785753","Belum Menikah","WNA","Bulanan","A-1-14","Kartu Debit",NULL,"2012-12-26","14:24:00","2013-05-25","08:43:00","150",NULL,"Keeley.Kuhic84@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6283","Nancy Cruickshank","3663515812862507","Belum Menikah","WNA","Harian","C-14-9","Cash",NULL,"2018-07-23","14:10:00","2018-07-26","08:33:00","3",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6284","Glenda Altenwerth","3574346602869965","Menikah","WNA","Harian","A-7-4","QRIS",NULL,"2014-08-19","18:49:00","2014-08-25","11:54:00","6",NULL,"April39@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6285","Daryl Schmeler","3361282306781445","Belum Menikah","WNA","Mingguan","A-12-21","Kartu Kredit",NULL,"2015-01-24","14:08:00","2015-02-07","10:31:00","14",NULL,"Shaun94@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6286","Jenny Hamill","3470064402928514","Menikah","WNA","Bulanan","B-5-3","QRIS",NULL,"2023-09-09","20:46:00","2024-02-06","07:11:00","150",NULL,"Darrion_Wisoky41@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6287","Edwin Veum","3137151907735273","Belum Menikah","WNI","Mingguan","D-7-16","Cash",NULL,"2013-11-09","16:55:00","2013-11-30","09:19:00","21",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6288","Larry Boyer","3164650410787319","Menikah","WNI","Harian","C-15-21","Others","gopay","2019-07-31","13:23:00","2019-08-05","07:48:00","5",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6289","Rick Harvey","3654430604690717","Menikah","WNI","Bulanan","A-8-30","Others","crypto","2013-02-03","17:18:00","2013-04-04","10:47:00","60",NULL,"Boris99@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6290","Alexis Maggio","3409584205041137","Belum Menikah","WNA","Mingguan","D-3-24","Kartu Debit",NULL,"2012-09-23","13:33:00","2012-09-30","09:52:00","7",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6291","Faith Howell","3290354206777275","Belum Menikah","WNI","Harian","B-20-23","Others","ovo","2010-06-12","23:19:00","2010-06-13","07:19:00","1","Kerusakan parah pada fasilitas","Yadira.Labadie22@yahoo.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6292","Herbert Feil","3463750204953299","Belum Menikah","WNI","Mingguan","B-2-25","Kartu Debit",NULL,"2017-01-02","19:27:00","2017-01-23","12:59:00","21",NULL,"Jeffrey_Olson@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6293","Warren Wiza","3624321903007967","Belum Menikah","WNI","Mingguan","B-20-23","Others","shopeepay","2010-12-07","20:21:00","2010-12-21","12:56:00","14",NULL,"Yadira.Labadie22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6294","Eunice McKenzie","3243004902957440","Menikah","WNA","Mingguan","C-17-17","Cash",NULL,"2022-05-28","19:14:00","2022-06-11","07:58:00","14",NULL,"Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6295","Wade Huel","3336702501056873","Belum Menikah","WNI","Mingguan","D-22-19","Cash",NULL,"2021-09-25","14:34:00","2021-10-02","12:02:00","7",NULL,"Seamus79@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6296","Glenn Reichert","3245940404818127","Belum Menikah","WNI","Bulanan","A-14-28","Others","ovo","2018-11-09","17:47:00","2019-03-09","10:31:00","120",NULL,"Ashton97@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6297","Steven Cummerata-Koss","3505120301847789","Belum Menikah","WNA","Mingguan","A-20-19","Others","dana","2024-03-21","19:58:00","2024-04-11","10:51:00","21",NULL,"Nicola22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6298","Erik Zboncak","3433580502932446","Menikah","WNI","Harian","A-3-13","Others","dana","2022-12-12","15:57:00","2022-12-18","08:29:00","6",NULL,"Houston.Labadie@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6299","Gabriel Erdman","3250722512664825","Belum Menikah","WNA","Mingguan","C-25-15","Others","linkaja","2010-10-07","17:11:00","2010-10-14","12:48:00","7",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6300","Shelia Jacobson","3295095308783334","Menikah","WNI","Bulanan","B-12-16","Kartu Kredit",NULL,"2023-12-23","20:19:00","2024-01-22","11:14:00","30",NULL,"Renee92@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6301","Spencer Blanda","3338472709715905","Menikah","WNI","Mingguan","B-9-28","QRIS",NULL,"2012-01-25","19:22:00","2012-02-08","10:29:00","14",NULL,"Moriah.Will73@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6302","Rachel Glover","5128845311854452","Belum Menikah","WNA","Bulanan","A-10-12","Kartu Debit",NULL,"2022-10-01","17:32:00","2023-01-29","12:18:00","120",NULL,"Edwin.Bosco@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6303","Edith Wolf","3519576203710124","Menikah","WNI","Bulanan","D-1-3","QRIS",NULL,"2022-11-15","15:40:00","2023-02-13","10:39:00","90",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6304","Raquel Marquardt","3588616409935996","Belum Menikah","WNI","Bulanan","B-19-11","Others","paylater","2013-01-01","18:13:00","2013-03-02","08:49:00","60",NULL,"Felton.Schamberger@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6305","Darlene Muller","3613934911863378","Menikah","WNA","Bulanan","C-3-30","Others","ovo","2025-06-14","14:56:00","2025-07-14","11:01:00","30",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6306","Annette Luettgen","3503936709959049","Belum Menikah","WNI","Harian","D-12-1","Kartu Debit",NULL,"2012-11-08","18:14:00","2012-11-09","08:22:00","1","Ditemukan alat suntik di tempat sampah","Irwin.Runolfsdottir49@hotmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6307","Lyle Crooks","3260962708026250","Menikah","WNA","Mingguan","D-14-20","QRIS",NULL,"2021-01-17","17:49:00","2021-01-31","11:04:00","14",NULL,"Eveline71@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6308","Wallace Beahan","3205513004721938","Menikah","WNI","Mingguan","C-16-25","Others","paylater","2010-02-26","14:30:00","2010-03-05","07:08:00","7",NULL,"Luciano.Bogan98@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6309","Margaret Mitchell","3127736502725601","Belum Menikah","WNI","Mingguan","B-13-19","QRIS",NULL,"2019-05-25","13:38:00","2019-06-15","10:37:00","21",NULL,"Earnestine.Dooley89@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6310","Katie Schamberger","3177766609048049","Belum Menikah","WNA","Mingguan","B-7-4","Others","gopay","2025-08-28","13:41:00","2025-09-04","12:22:00","7",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6311","Patricia Okuneva","3550025712012306","Menikah","WNI","Mingguan","C-25-22","Kartu Debit",NULL,"2022-06-15","18:52:00","2022-07-06","08:53:00","21",NULL,"Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6312","Penny Casper","3163625212062857","Menikah","WNA","Harian","C-18-27","QRIS",NULL,"2011-12-04","13:44:00","2011-12-10","09:18:00","6",NULL,"Ian10@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6313","Earnest Walsh","3558051401815197","Menikah","WNI","Bulanan","A-20-30","Kartu Debit",NULL,"2013-05-09","15:42:00","2013-06-08","08:28:00","30",NULL,"p3srs@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6314","Crystal Hartmann","5159065712817176","Belum Menikah","WNI","Bulanan","A-14-19","Kartu Debit",NULL,"2016-05-21","16:03:00","2016-06-20","07:17:00","30",NULL,"Shane54@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6315","Wilson Kuvalis","3450452207951599","Menikah","WNI","Mingguan","A-2-19","QRIS",NULL,"2019-12-15","15:47:00","2020-01-05","08:12:00","21",NULL,"Robyn48@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6316","Gerardo Padberg","3118262005920150","Belum Menikah","WNA","Bulanan","A-3-3","Others","shopeepay","2022-01-20","13:04:00","2022-06-19","11:22:00","150",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6317","Kent Williamson","3362012801992393","Menikah","WNI","Harian","A-15-5","Kartu Debit",NULL,"2023-10-11","17:39:00","2023-10-14","09:27:00","3",NULL,"Paula91@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6318","Gayle Hirthe","3689745508709367","Menikah","WNI","Harian","C-6-26","Cash",NULL,"2015-10-12","18:43:00","2015-10-15","07:23:00","3",NULL,"Nicola22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6319","Harold Koss","3605261111929376","Belum Menikah","WNI","Harian","D-18-30","Kartu Debit",NULL,"2022-12-08","20:52:00","2022-12-09","07:52:00","1","Kebisingan berlebihan di malam hari","Jalon31@yahoo.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6320","Fred Beer","3434040407804409","Menikah","WNA","Mingguan","B-15-13","Others","linkaja","2024-08-16","13:54:00","2024-09-06","12:04:00","21",NULL,"Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6321","Elizabeth Wilderman","3444347101691605","Menikah","WNA","Bulanan","C-22-23","Kartu Kredit",NULL,"2017-02-02","13:05:00","2017-04-03","09:13:00","60",NULL,"Onie87@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6322","Henrietta Casper","3362325409064986","Menikah","WNA","Harian","B-10-30","Kartu Debit",NULL,"2011-02-05","15:40:00","2011-02-11","08:30:00","6",NULL,"Shaun94@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6323","Grant Brekke-Padberg","3399010907030079","Belum Menikah","WNA","Bulanan","A-10-4","Others","crypto","2011-03-07","17:30:00","2011-06-05","09:10:00","90",NULL,"Percy.Steuber@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6324","Dianna Moen","3646786103780671","Menikah","WNI","Bulanan","B-9-26","Kartu Kredit",NULL,"2019-02-27","14:45:00","2019-07-27","09:07:00","150",NULL,"Ashton97@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6325","Kara Homenick","3208095511791057","Menikah","WNA","Harian","B-15-11","QRIS",NULL,"2011-06-02","18:22:00","2011-06-06","09:39:00","4",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6326","Alexandra Kunde-O'Kon","3673775609873351","Menikah","WNA","Harian","C-5-29","Kartu Debit",NULL,"2024-05-30","14:16:00","2024-06-03","08:13:00","4",NULL,"Moriah.Will73@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6327","Seth Conn","3679773009730079","Belum Menikah","WNA","Mingguan","B-25-29","Kartu Debit",NULL,"2012-08-04","17:46:00","2012-08-25","11:29:00","21",NULL,"Darrion_Wisoky41@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6328","Rachael Ortiz","5179124202796803","Belum Menikah","WNI","Mingguan","D-15-21","Kartu Kredit",NULL,"2017-09-12","19:56:00","2017-09-19","11:55:00","7",NULL,"Amy_Kuhn34@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6329","Megan Kuphal","3195665511017895","Belum Menikah","WNA","Bulanan","B-10-27","Cash",NULL,"2023-09-02","20:07:00","2024-01-30","12:58:00","150",NULL,"pkj@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6330","Ted Hahn","3435602807687763","Menikah","WNI","Mingguan","A-15-19","Cash",NULL,"2020-09-04","18:58:00","2020-09-18","11:17:00","14",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6331","Jerome Heathcote","3316992409057161","Belum Menikah","WNI","Harian","B-10-14","Kartu Debit",NULL,"2023-02-21","17:05:00","2023-02-22","10:30:00","1","Tidak menjaga kebersihan unit","Bell_Pouros-Dach2@yahoo.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6332","Jonathon Skiles","3391031109685873","Belum Menikah","WNA","Bulanan","C-15-30","Cash",NULL,"2024-10-23","13:39:00","2025-02-20","12:08:00","120",NULL,"Troy_Cruickshank@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6333","Jeremiah Rempel","3649560510989954","Belum Menikah","WNA","Mingguan","D-13-30","QRIS",NULL,"2010-08-20","16:26:00","2010-09-03","07:45:00","14",NULL,"Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6334","Dustin Skiles","3692410406979163","Belum Menikah","WNA","Bulanan","B-1-10","Kartu Debit",NULL,"2010-03-07","17:56:00","2010-05-06","08:16:00","60",NULL,"Onie87@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6335","Marianne Zemlak","3442934304894452","Belum Menikah","WNI","Bulanan","B-7-15","Kartu Kredit",NULL,"2013-09-22","18:17:00","2013-12-21","09:46:00","90",NULL,"Keeley.Kuhic84@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6336","Amy Reynolds-Adams","3302294101000460","Menikah","WNA","Bulanan","D-10-4","Kartu Debit",NULL,"2017-10-14","20:58:00","2017-11-13","08:45:00","30",NULL,"Ollie.Wilderman@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6337","Traci Goodwin","3105444712065500","Belum Menikah","WNA","Bulanan","D-25-29","Kartu Debit",NULL,"2015-04-10","14:56:00","2015-06-09","09:29:00","60",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6338","Warren Watsica","5100391307693950","Belum Menikah","WNA","Bulanan","D-10-1","Kartu Kredit",NULL,"2016-12-10","13:34:00","2017-04-09","09:35:00","120",NULL,"Felton.Schamberger@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6339","Percy Hackett","3377001504656356","Menikah","WNI","Bulanan","B-7-15","Others","shopeepay","2024-08-21","19:20:00","2024-11-19","09:10:00","90",NULL,"Keeley.Kuhic84@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6340","Monique Muller","3519085604057535","Menikah","WNI","Bulanan","C-17-17","Others","crypto","2025-01-14","14:36:00","2025-02-13","08:20:00","30",NULL,"Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6341","Jaime Anderson","5147000301691629","Belum Menikah","WNA","Harian","D-18-25","Cash",NULL,"2010-06-15","14:10:00","2010-06-17","12:54:00","2",NULL,"Paula91@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6342","Tom Grimes","5189561012658929","Menikah","WNI","Mingguan","B-21-9","Cash",NULL,"2011-03-22","18:22:00","2011-03-29","07:47:00","7",NULL,"Ena_Hartmann34@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6343","Courtney Wisoky","3646461311660711","Menikah","WNI","Mingguan","B-12-11","Kartu Kredit",NULL,"2016-02-05","16:02:00","2016-02-26","08:52:00","21",NULL,"Irwin.Runolfsdottir49@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6344","Fernando Hand","3168882302911648","Belum Menikah","WNA","Bulanan","A-18-7","Others","ovo","2016-05-14","19:00:00","2016-10-11","09:57:00","150",NULL,"Onie87@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6345","Anna Jacobi","3657215406782170","Menikah","WNI","Mingguan","B-14-16","QRIS",NULL,"2019-03-22","20:39:00","2019-04-05","11:06:00","14",NULL,"Shane54@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6346","Melba Sporer","3531926008728429","Menikah","WNI","Harian","A-15-19","Cash",NULL,"2025-09-12","19:09:00","2025-09-13","07:33:00","1","Tidak menjaga kebersihan unit","Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"6347","Homer Schinner","3298851902672748","Menikah","WNI","Mingguan","A-7-16","Others","shopeepay","2023-01-01","13:33:00","2023-01-08","12:29:00","7",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"6348","Samuel Schowalter","3292502110750667","Belum Menikah","WNA","Mingguan","D-25-10","QRIS",NULL,"2018-01-10","16:43:00","2018-01-24","08:47:00","14",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"6349","Lorena Terry","3426226208078142","Menikah","WNA","Mingguan","B-4-5","Kartu Kredit",NULL,"2020-06-04","19:23:00","2020-06-18","10:20:00","14",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"6350","Tonya Torphy","3116664612788349","Menikah","WNI","Harian","B-24-16","Cash",NULL,"2016-01-23","06:23:00","2016-01-24","17:23:00","1","Penyalahgunaan alkohol/narkoba","Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
